video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=iFPokf8mwPk&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@crashcourse,CrashCourse,What is Urban Planning? Crash Course Geography #47,167K,1 year,Today we're going to talk about urban planning — which is the design and regulation of space within urban areas. Urban ...,2024-01-24 03:17:07.660374
/watch?v=HdW1-guocPA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@MindTheMap,Mind The Map,The difference between Urban Planning and Urban Design explained in 100 seconds,33K,10 months,Let's once and for all figure out the difference between Urban Planning and Urban Design. It's more complicated than you might ...,2024-01-24 03:17:07.663707
/watch?v=xVB1qMttC1I&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@OneNewsPH,One News PH,Urban planner discusses plans for Pasig River Esplanade,23K,1 day,"... about the Pasig River Esplanade, which is part of the Marcos administration's Pasig River Urban Development (PRUD) project.",2024-01-24 03:17:07.666992
/watch?v=HBMlQZeXMiA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@DWDocumentary,DW Documentary,Future cities: Urban planners get creative | DW Documentary,561K,1 year,Will the cities of the future be climate neutral? Might they also be able to actively filter carbon dioxide out of the air? Futurologist ...,2024-01-24 03:17:07.674372
/watch?v=CLjqGwo5QaA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@AdamSomething,Adam Something,Why Superblocks Are Peak Urbanism,737K,2 years,"It even sounds like a WWE event, so maybe Americans will also be on board with it. Check out my Patreon: ...",2024-01-24 03:17:16.500097
/watch?v=IFjD3NMv6Kw&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@TED,TED,7 principles for building better cities | Peter Calthorpe | TED,2.2M,6 years,"More than half of the world's population already lives in cities, and another 2.5 billion people are projected to move to urban areas ...",2024-01-24 03:17:16.503408
/watch?v=ehnGiygPw2k&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CityBeautiful,City Beautiful,Can Infill Development Save Cities?,381K,4 months,"Vacant lots and underused parking lots can be redeveloped into housing, offices, shopping and more. When that happens, the ...",2024-01-24 03:17:16.505801
/watch?v=2Q5bICcek6s&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CityBeautiful,City Beautiful,A Brief History of U.S. City Planning,1.1M,4 years,"500+ years of history in 15 minutes. I'm sure I didn't miss anything! 1. Rodriguez, Roberto. (2005) The Foundational Process of ...",2024-01-24 03:17:16.515527
/watch?v=_5ot_1tbQX8&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@UMTaubmanCollege,UMTaubmanCollege,What Is Urban Planning?,159K,8 years,What is Urban Planning to you? Share your thoughts with us at facebook.com/agoraplanningjournal Created by: Dan Sommerville ...,2024-01-24 03:17:16.517806
/watch?v=gijPfyNXAt8&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@skyrealtors,Sky Realtors,Urban City Lahre | Latest Development Update | 3 & 5 Marla Plots #skyrealtors,111,1 day,URBAN CITY LAHORE NEW BLOCK CITY VENTURE 3.5 Year Pocket Friendly Payment Plan 3 Marla Booking ...,2024-01-24 03:17:16.520078
/watch?v=uxykI30fS54&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@NotJustBikes,Not Just Bikes,Why City Design is Important (and why I hate Houston),6.2M,2 years,"I'm not an urban planner, so you might ask, why do I run a YouTube channel about urban planning and walkable cities?",2024-01-24 03:17:16.531161
/watch?v=Gm-KrSqy1EM&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CityBeautiful,City Beautiful,Urban Growth Boundaries: Effective or Worthless?,177K,1 year,"Cities can use urban growth boundaries to keep urban development compact, while protecting farm and forest land outside.",2024-01-24 03:17:16.534506
/watch?v=zysL_lkdtys&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@OBFYT,OBF,Why Tokyo Is Insanely Well Designed,8.7M,2 years,Why Tokyo Is Insanely Well Designed Support me on Patreon: https://www.patreon.com/oliverbahl Follow me on Twitter: ...,2024-01-24 03:17:16.541737
/watch?v=5ZwbZWrKbGI&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@OBFYT,OBF,Why Cities With Grids Are Terribly Designed,1.2M,1 year,Why Cities With Grids Are Terribly Designed Support me on Patreon: https://www.patreon.com/oliverbahl Follow me on Twitter: ...,2024-01-24 03:17:16.544159
/watch?v=URLOGQhJWj0&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@PlanetizenCourses,Planetizen Courses,What is Urban Planning?,129K,4 years,"Describing the field of urban planning in a world full of ""party plans"" and ""life planning"" can be challenging. This video sheds some ...",2024-01-24 03:17:16.553408
/watch?v=hDaW8KIeTNw&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@crashcourse,CrashCourse,How Are Cities Organized? Crash Course Geography #46,129K,1 year,"Today we're going to take a closer look at cities, examine how these large complex structures are organized, and identify patterns ...",2024-01-24 03:17:16.555863
/watch?v=rWadiYLIAps&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@InductionPod,Induction (with Tom Nicholas),The Unstoppable Rise of Urban Planning Content,14K,9 months,"In this fortnight's episode of Induction, Tom chats to Jason Slaughter from Not Just Bikes about the recent boom in urban planning ...",2024-01-24 03:17:16.558159
/watch?v=t_nH5rKWyAI&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@WorldBank,World Bank,Better Urban Development Through Data,12K,8 years,"Urban areas in East Asia are growing, spilling over city boundaries, merging with each other. Today 40% of urban areas include ...",2024-01-24 03:17:16.562948
/watch?v=ifKOB-d3uds&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CollingwoodPlanning,CollingwoodPlanning,Urban Planning 101 - Walkability,178K,12 years,"One of a series of animated videos describing Urban Planning principles, in this case, walkability.",2024-01-24 03:17:16.567890
/watch?v=kNvmaq3e3Hk&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@wef,World Economic Forum,Infrastructure and Urban Development,56K,10 years,The world urbanises at a rate of a million people per week. What challenges does this create? Is there an optimal size for a city?,2024-01-24 03:17:16.573264
/watch?v=T2QB-32Zzhk&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@PakJaidad,Apni Jaidad,Urban City Lahore | Latest Development Update | Main Boulevard Development Update | Plots for Sale,No,11 hours,Urban City Lahore latest Development Update City Oasis Block. Urban City Lahore Main Boulevard road development update.,2024-01-24 03:17:24.163383
/watch?v=_JpmUvMX194&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@PROPERTYNAAMA,PROPERTY NAAMA,"Ravi Urban Development Authority, RUDA Lahore | New City beginning, Twin City Concept, Details",3.2K,14 hours,"Ravi Urban Development Authority (RUDA) intends to develop urban areas of the province into sustainable, livable and ...",2024-01-24 03:17:24.167961
/watch?v=w1qujx0PMqg&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@PHGalaan,PH Galaan,NEW Pasig River Esplanade at Night | Huge Transformation in Manila! NEW Tourist Destination | 4K Res,378,23 hours,"""Pasig Bigyang Buhay Muli: Pasig River Urban Development Showcase Area"" This architectural marvel, crafted in a ...",2024-01-24 03:17:24.171494
/watch?v=Sqt3gldLXi4&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@wealthytrade2404,WealthyTrade,HUDCO share 🔥| HUDCO share latest news | HUDCO share news today,597,13 hours,"... HUDCO latest news, Housing urban development corporation share latest news, housing urban development corporation ltd, ...",2024-01-24 03:17:24.175670
/watch?v=NkkeBBbIAtA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@360_Properties,360 Properties,Discover the Brilliance of Block B in Overseas Central - Capital Smart City!,69,14 hours,"Embark on a captivating journey with us as we unveil the hidden gems of Block B in Overseas Central, Capital Smart City.",2024-01-24 03:17:24.178574
/watch?v=oc6fGS6AbsM&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@nextpathconsultants,NextPath Consultants,Lahore Smart City Second Balloting | What Happened On First Day Of Plot Selection | NextPath,265,18 hours,A smart city is based on the concept of eco-friendly and sustainable urban development connected digitally. Like Capital Smart ...,2024-01-24 03:17:24.179926
/watch?v=1ajqbyhvzEk&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@crownmarketingpvtltd,Crown Marketing,Capital Smart City Islamabad | Possession able Plots | Development Update | Payment Plan,No,8 hours,For Booking and Details Contact Us Now + 92 333 513 3995 and Follow Us on our Facebook and Youtube ...,2024-01-24 03:17:24.181113
/watch?v=BJ5eYX5gK_c&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@LahoreRealEstateOfficial,Lahore Real Estate ®,Lahore Smart City: Customer Feedback on Plot Selection | Contact Us for Your Plot Evaluation!,668,13 hours,Explore the insightful world of Lahore Smart City as customers share their feedback on plot selection! Discover firsthand ...,2024-01-24 03:17:24.182356
