video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=fKnAJCSGSdk&pp=ygUMVXJiYW5pemF0aW9u,/@TEDEd,TED-Ed,Urbanization and the future of cities - Vance Kite,2.4M,10 years,"About 10000 years ago, hunter-gatherers, aided by rudimentary agriculture, moved to semi-permanent villages and never looked ...",2024-01-24 03:25:43.603371
/watch?v=ON4oIKza7bw&pp=ygUMVXJiYW5pemF0aW9u,/@crashcourse,CrashCourse,Why are People Moving to Cities? Crash Course Geography #45,132K,1 year,"According to the UN, people living in urban places now outnumber those in rural areas — which is a pretty new phenomenon for ...",2024-01-24 03:25:43.605401
/watch?v=J-JtL517vfM&pp=ygUMVXJiYW5pemF0aW9u,/@NatGeoEdOrg,National Geographic Education,Definitions in the Field: Urbanization,11K,4 years,From the Education Resource Library: National Geographic Explorer Ma Junn defines 'urbanization.' WHAT IS THE RESOURCE ...,2024-01-24 03:25:43.609041
/watch?v=2C7F_2OpRT8&pp=ygUMVXJiYW5pemF0aW9u,/@khanacademy,Khan Academy,Impacts of Urbanization| AP Environmental science| Khan Academy,43K,2 years,Urbanization can lead to depletion of resources and saltwater intrusion in the hydrologic cycle. Impervious surfaces are ...,2024-01-24 03:25:43.611856
/watch?v=JDS_BqDeZ4k&pp=ygUMVXJiYW5pemF0aW9u,/@TheEconomist,The Economist,Urbanisation and the rise of the megacity,306K,6 years,Urbanisation is happening faster today than at any time in history. By 2030 nearly 9% of the global population will live in so-called ...,2024-01-24 03:25:43.614713
/watch?v=U3hHdunQLuM&pp=ygUMVXJiYW5pemF0aW9u,/@InfineonTechnologiesAG,Infineon Technologies,What is Urbanization? | Infineon,24K,4 years,What is Urbanization? Our planet's population is growing at a rapid pace. More and more people worldwide are migrating from ...,2024-01-24 03:25:51.033196
/watch?v=RRhjqqe750A&pp=ygUMVXJiYW5pemF0aW9u,/@crashcourse,CrashCourse,"Growth, Cities, and Immigration: Crash Course US History #25",3.2M,10 years,In which John Green teaches you about the massive immigration to the United States during the late 19th and early 20th centuries ...,2024-01-24 03:25:51.037402
/watch?v=DwcW12J1FFA&pp=ygUMVXJiYW5pemF0aW9u,/@khanacademymedicine,khanacademymedicine,Urbanization | Society and Culture | MCAT | Khan Academy,214K,9 years,Created by Sydney Brown. Watch the next lesson: ...,2024-01-24 03:25:51.041408
/watch?v=WuswpC4n0As&pp=ygUMVXJiYW5pemF0aW9u,/@BBCAfrica,BBC News Africa,"The impact of urbanisation in Africa, explained  - BBC Africa",143K,1 year,The urban population in Africa is growing faster than anywhere else in the world. Urbanisation can contribute to poverty reduction ...,2024-01-24 03:25:51.044335
/watch?v=mmifQYDaMAY&pp=ygUMVXJiYW5pemF0aW9u,/@MrBowater,Mr B,What is Urbanisation? - GEOGRAPHY BASICS,45K,3 years,geographybasics #geogbasics #geography Urbanisation refers to the population moving from rural to urban areas.,2024-01-24 03:25:51.047551
/watch?v=1z-D3nkfrkM&pp=ygUMVXJiYW5pemF0aW9u,/@TheEconomist,The Economist,How to manage a megacity,750K,2 years,"By 2050, 6 billion people could be living in cities. How should the challenges caused by rapid urbanization be handled in the ...",2024-01-24 03:25:51.051653
/watch?v=N3fUl3q2xNM&pp=ygUMVXJiYW5pemF0aW9u,/@byjusclasses,BYJU'S,What Is Urbanisation? | Class 8 - Geography | Learn With BYJU'S,129K,3 years,"Crowded markets, overflowing garbage, and traffic jams. Do you know what causes all of this? Urbanisation is an increase in the ...",2024-01-24 03:25:51.057040
/watch?v=LpMSveXe--k&pp=ygUMVXJiYW5pemF0aW9u,/@GeographyLessons,Geography Lessons,Rural-urban migration and urbanization,71K,3 years,"Full text: Now that we've discussed the main concepts about migration, let's discuss an important form of migration: urbanization.",2024-01-24 03:25:51.064727
/watch?v=ZGrriw-jzPI&pp=ygUMVXJiYW5pemF0aW9u,/@GeogJuice,Geography Juice,What is Urbanisation | GCSE Geography,19K,1 year,This GCSE Geography video defines urbanisation and explains how urban change is not equal across the globe. It describes the ...,2024-01-24 03:25:51.068914
/watch?v=EpBbnL3pMRA&pp=ygUMVXJiYW5pemF0aW9u,/@macquarie,Macquarie Group,Urbanisation and the growth of global cities,174K,7 years,"Around the world one in every two people now live in urban areas, and this number is predicted to rise to two out of three by 2050.",2024-01-24 03:25:51.078707
