video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=sOaXfc9MuKc&pp=ygUMTmV3IFVyYmFuaXNt,/@CityBeautiful,City Beautiful,What is New Urbanism?,387K,4 years,"Resources: A. The Celebration Controversies, Andres Duany, 2004. http://www.webenet.com/celebration-duany.htm B. The ...",2024-01-24 03:28:02.270582
/watch?v=waalgjQ52vM&pp=ygUMTmV3IFVyYmFuaXNt,/@Congress4NewUrbanism,Congress for the New Urbanism,New Urbanism 101: Principles of New Urbanism,30K,8 years,New urbanists measure success by aligning practical strategies with the principles most identified with places people love. Andres ...,2024-01-24 03:28:02.279938
/watch?v=1O0LvSP1Igk&pp=ygUMTmV3IFVyYmFuaXNt,/@EduArchs,Edu-Archs,Principles of New Urbanism | What is New Urbanism?,7.8K,3 years,"newurbanism #principlesofnewurbanism #whatisnewurbanism #urbanplanning #urbandesign Let's Learn together, Subscribe ...",2024-01-24 03:28:02.284247
/watch?v=fOpVO3VHyPI&pp=ygUMTmV3IFVyYmFuaXNt,/@bikequestwithmikewest,Bike Quest with Mike West,US vs Dutch New Urbanism Suburbs: What's the Difference?,5K,1 year,"In this video, Bike Quest with Mike West and The Dutch Way team up to take you on a ride through two suburban communities to ...",2024-01-24 03:28:02.286909
/watch?v=YhVSrCWvR4k&pp=ygUMTmV3IFVyYmFuaXNt,/@Congress4NewUrbanism,Congress for the New Urbanism,New Urbanism 101: The History of Planning,33K,8 years,"What's so “new” about New Urbanism? Let's put the movement in its historical context with an overview of the who, what and why ...",2024-01-24 03:28:02.294112
/watch?v=uJ1ePlln6VE&pp=ygUMTmV3IFVyYmFuaXNt,/@OhTheUrbanity,Oh The Urbanity!,Inside The Mind of Urbanism's Biggest Critic,207K,1 year,"There aren't a lot of prominent critics of urbanism out there. Yes, lots of people argue against bike lanes, public transit, or housing ...",2024-01-24 03:28:02.298743
/watch?v=dmdE8FrkPOU&pp=ygUMTmV3IFVyYmFuaXNt,/@blemmerman,Brian Draws Places,I asked AI to Design a New Urbanist Seaside Town,23K,10 months,Can AI be a useful designer on your urban planning team? This is an experiment to see if we can get MidJourney AI to design a ...,2024-01-24 03:28:12.256221
/watch?v=w1qujx0PMqg&pp=ygUMTmV3IFVyYmFuaXNt,/@PHGalaan,PH Galaan,NEW Pasig River Esplanade at Night | Huge Transformation in Manila! NEW Tourist Destination | 4K Res,395,23 hours,"This is a Night Tour of the Newest Attraction, the Pasig River Esplanade in Manila! ""Pasig Bigyang Buhay Muli: Pasig River Urban ...",2024-01-24 03:28:12.266436
/watch?v=QdFqu76Mqtk&pp=ygUMTmV3IFVyYmFuaXNt,/@urbanphoenix1093,Urban Phoenix,New Urbanism Explained,7.4K,5 years,"A simple, easy to understand introduction to New Urbanism.",2024-01-24 03:28:12.269091
/watch?v=XfonhlM6I7w&pp=ygUMTmV3IFVyYmFuaXNt,/@the_aesthetic_city,The Aesthetic City,This Town Did The Impossible City Transformation,2.4M,11 months,This Town Did The Impossible City Transformation What happens if you totally transform a town? This suburb was dominated by ...,2024-01-24 03:28:12.270927
